userId_x,proficiency,VerificationStatus,hackerRankScore,designation,projectName,ProjectDescription,certificateName,CertificateDescription,issuingAuthority,validityPeriodMonths,CurentStatus,comments,rating,skillName,total_project_days,chanceToApprove,fullname
6607cde33e2c6656855359e0,intermediate,Verified,12.0,Architect,,,,,,0.0,Approved,"Agent oil away. That among offer tell most.
Number plan effort child doctor beyond wonder. Herself change bank happy. Suffer issue foreign candidate despite imagine.",5.0,DBT,0.0,2.0,Admin Admin
6607cde33e2c6656855359e0,advanced,Verified,71.0,Architect,,,box,Whom might when weight own.,Mitchell Inc,28.0,Rejected,"After information practice response teacher.
Identify main doctor skill large. Eat group window watch art hotel prevent.",4.0,React Native,0.0,2.0,Admin Admin
6607d1475162a636379e9834,advanced,Verified,6.0,Principal Architect,Hicks-Rodriguez,"Name history consumer allow expert. Because enjoy establish perform recognize teacher.
Social letter food over perhaps appear. Two walk least generation small admit.
Thought different else week here.",world,Process its direction yeah.,Adkins-Fisher,37.0,Approved,Door audience month test police. Service stage very entire account resource do. Likely claim each prove office research money.,1.0,Flask,25.0,3.0,HARSH SINGH
6607d1475162a636379e9834,advanced,Verified,54.0,Principal Architect,,,radio,Whom reach part career.,King Inc,47.0,Approved,Person opportunity probably local response. Citizen director thought exactly drive education case.,2.0,React,0.0,3.0,HARSH SINGH
6607d1475162a636379e9834,advanced,Verified,81.0,Principal Architect,,,,,,0.0,Approved,Enough media hard today theory guess defense same. Employee debate leg yard leave reality. Begin unit free behavior chance voice above.,4.0,React Native,0.0,3.0,HARSH SINGH
,,,0.0,Sr. Software Engineer,,,,,,0.0,,,0.0,,0.0,0.0,Rajib Parbat
66080b98b85746ebc7e40654,intermediate,Verified,3.0,Solution Enabler,Keller PLC,"Machine network dream here ask detail single. Paper improve third laugh entire cause despite. He study others.
Throughout executive old travel. Per health news. Put population us receive.",,,,0.0,Rejected,Loss quite small court left oil leader herself. Brother practice system professional home office than. Catch two coach country prevent financial light.,2.0,Project Mgmt,305.0,1.0,swarnadeep pramanik
660c44e1031dafee85d11d05,intermediate,Not Verified,60.0,Solution Enabler,"Schultz, Jacobs and Warner","Relationship employee wife. Design for hour office factor eight hear.
Number tree school church capital. Mission daughter student may form summer. Consider impact heart.",about,Agent network pattern book identify.,Knight-Garcia,3.0,Pending,,0.0,Presenting,304.0,3.0,mirror acctwo
660c44e1031dafee85d11d05,advanced,Not Verified,19.0,Solution Enabler,Campos and Sons,"Information begin article true. Base body clearly hotel artist.
Finish general different director. Public strong along business this former.",,,,0.0,Rejected,Community life lawyer technology big I. Response go machine history amount process child nothing.,-1.0,Project Mgmt,303.0,3.0,mirror acctwo
660c44e1031dafee85d11d05,intermediate,Not Verified,13.0,Solution Enabler,,,plant,Hair often any help treat oil event up.,"Brown, Pierce and Blackburn",42.0,Approved,"Wear power reduce movement. Resource team president good.
Measure generation phone. Arrive morning campaign suddenly tend forward someone. Site trouble million thousand hear.",-1.0,AWS Lambda,0.0,3.0,mirror acctwo
