_id,firstName,lastName,email,password,role,forcePasswordReset,isActive,designation,updatedAt,skills,createdAt,__v
6607cde33e2c6656855359e0,Admin,Admin,admin@example.com,$2b$10$TSU6S337XsOqWgq2ahceuOEroN6PFi5FNBGZXI5x0ttbg9xnla2V6,admin,False,True,Architect,2024-04-01 15:51:14.077,[],2024-03-30 08:31:31.626,0.0
6607d1475162a636379e9834,HARSH,SINGH,harshsingh@jmangroup.com,$2b$10$SntQi7I6pN9n4LRhZuWosuGPdoVW/Y/Np2r01mObg3BkxHpu9E0jW,user,False,True,Principal Architect,2024-04-02 17:45:16.655,"[ObjectId('660ad8126191edfc3a9e3855'), ObjectId('660ad8b36191edfc3a9e38b7'), ObjectId('660b9eb9b6356d4407901d73'), ObjectId('660b9fcfb6356d4407901d87'), ObjectId('660ba05fb6356d4407901da0'), ObjectId('660ba0d4b6356d4407901db2'), ObjectId('660ba1c2b6356d4407901dc3'), ObjectId('660ba1dbb6356d4407901dd2'), ObjectId('660ba3bbb6356d4407901e17'), ObjectId('660bb0fb8eb665ae15563543'), ObjectId('660bd72d9968820a868f5a74'), ObjectId('660bd7359968820a868f5a7d'), ObjectId('660bdc079968820a868f5f89'), ObjectId('660bdc8b9968820a868f679f'), ObjectId('660bfae69968820a868f990e'), ObjectId('660c15b34b4a5aed8e4dc012'), ObjectId('660ce87c5e2974cbb6328def')]",2024-03-30 08:45:59.698,1.0
66080b1eb85746ebc7e4064f,Rajib,Parbat,rajibparbat@jmangroup.com,$2b$10$28dKc0BaBKB7jNQzMPUoNu9FiEeqa1yyyEsbuZFTZAFT1Z1vjuYFy,user,False,True,Sr. Software Engineer,2024-04-02 17:45:23.149,"[ObjectId('660b07f449d83dfc1e83952d'), ObjectId('660c161a4b4a5aed8e4dd32b'), ObjectId('660c16734b4a5aed8e4de48e')]",2024-03-30 12:52:46.258,1.0
66080b98b85746ebc7e40654,swarnadeep,pramanik,swarnadeep@jmangroup.com,$2b$10$U14T8pbN2Hjq.2KhOjO2iO9tvYp5r1KsvS/Jl7.mhkkt4IDQA8Vqe,user,False,True,Solution Enabler,2024-04-03 05:33:23.926,"[ObjectId('660bfb8c9968820a868fbc96'), ObjectId('660ce9e35e2974cbb6329ac1'), ObjectId('660ce9f95e2974cbb6329fcc'), ObjectId('660cea435e2974cbb632a64f')]",2024-03-30 12:54:48.648,1.0
660c44e1031dafee85d11d05,mirror,acctwo,mirroracctwo@gmail.com,$2b$10$AsjVM7JUwOmJgVXgMUkEM.fh7KfSO.z90U5iKqg9mZPbH0pup0S0u,admin,True,True,Solution Enabler,2024-04-02 17:50:11.422,[],2024-04-02 17:48:17.143,0.0
660ce9075e2974cbb6329329,Kunal,Kishore,kunalkishore1807@gmail.com,$2b$10$qePNanhcap4.7o8uni8CkuDRrxYmbSeDcTdD56h8RTQjvh0C2FkeG,user,False,True,Consultant,2024-04-03 05:30:59.290,"[ObjectId('660d7eecb469a535557aa59e'), ObjectId('660d7f8fb469a535557aa7ed'), ObjectId('66100779b8422610d4b0594a'), ObjectId('661008e8b8422610d4b059a9')]",2024-04-03 05:28:39.596,0.0
6612946baddf941b98f24bcb,Kimberly,Lara,bgray@example.net,$2b$10$SntQi7I6pN9n4LRhZuWosuGPdoVW/Y/Np2r01mObg3BkxHpu9E0jW,admin,False,True,Solution Enabler,,,,
6612946baddf941b98f24bcc,Kevin,Cooper,xmiles@example.net,$2b$10$SntQi7I6pN9n4LRhZuWosuGPdoVW/Y/Np2r01mObg3BkxHpu9E0jW,admin,False,True,Sr. Software Engineer,,,,
6612946baddf941b98f24bcd,Daniel,Fernandez,larry54@example.org,$2b$10$SntQi7I6pN9n4LRhZuWosuGPdoVW/Y/Np2r01mObg3BkxHpu9E0jW,user,False,True,Software Engineer,,,,
6612946baddf941b98f24bce,Stephanie,Small,lisa24@example.org,$2b$10$SntQi7I6pN9n4LRhZuWosuGPdoVW/Y/Np2r01mObg3BkxHpu9E0jW,user,False,True,Consultant,,,,
6612946baddf941b98f24bcf,Joshua,Johnson,brandon15@example.org,$2b$10$SntQi7I6pN9n4LRhZuWosuGPdoVW/Y/Np2r01mObg3BkxHpu9E0jW,admin,False,True,Architect,,,,
6612946baddf941b98f24bd0,Charles,Scott,crosbydaniel@example.com,$2b$10$SntQi7I6pN9n4LRhZuWosuGPdoVW/Y/Np2r01mObg3BkxHpu9E0jW,admin,False,True,Consultant,,,,
6612946baddf941b98f24bd1,Angela,Green,graceboone@example.com,$2b$10$SntQi7I6pN9n4LRhZuWosuGPdoVW/Y/Np2r01mObg3BkxHpu9E0jW,user,False,True,Consultant,,,,
6612946baddf941b98f24bd2,Brittany,Castillo,fcarlson@example.org,$2b$10$SntQi7I6pN9n4LRhZuWosuGPdoVW/Y/Np2r01mObg3BkxHpu9E0jW,user,False,True,Solution Enabler,,,,
